tweet_id,timestamp,refined_text,dog_name,dog_stage,image_link,expanded_urls,source,prediction_1_confidence,prediction_2_confidence,prediction_3_confidence,most_confident_prediction,prediction_1,prediction_2,prediction_3,prediction_1_isdog,prediction_2_isdog,prediction_3_isdog,rating_fraction,retweet_count,favorite_count
666020888022790149,2015-11-15 22:32:08,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet ,,,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,https://twitter.com/dog_rates/status/666020888022790149/photo/1,Twitter for iPhone,0.465074,0.156665,0.0614285,1,Welsh_springer_spaniel,collie,Shetland_sheepdog,True,True,True,0.8,419,2282
666029285002620928,2015-11-15 23:05:30,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of ,a,,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,https://twitter.com/dog_rates/status/666029285002620928/photo/1,Twitter for iPhone,0.506826,0.07419169999999999,0.07201,1,redbone,miniature_pinscher,Rhodesian_ridgeback,True,True,True,0.7,39,112
666033412701032449,2015-11-15 23:21:54,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af ,a,,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,https://twitter.com/dog_rates/status/666033412701032449/photo/1,Twitter for iPhone,0.596461,0.13858399999999998,0.116197,1,German_shepherd,malinois,bloodhound,True,True,True,0.9,36,100
666044226329800704,2015-11-16 00:04:52,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 ,a,,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,https://twitter.com/dog_rates/status/666044226329800704/photo/1,Twitter for iPhone,0.408143,0.360687,0.222752,1,Rhodesian_ridgeback,redbone,miniature_pinscher,True,True,True,0.6,114,245
666049248165822465,2015-11-16 00:24:50,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 ,,,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,https://twitter.com/dog_rates/status/666049248165822465/photo/1,Twitter for iPhone,0.560311,0.243682,0.154629,1,miniature_pinscher,Rottweiler,Doberman,True,True,True,0.5,36,88
666050758794694657,2015-11-16 00:30:50,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with ,a,,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,https://twitter.com/dog_rates/status/666050758794694657/photo/1,Twitter for iPhone,0.651137,0.263788,0.0161992,1,Bernese_mountain_dog,English_springer,Greater_Swiss_Mountain_dog,True,True,True,1.0,50,115
666051853826850816,2015-11-16 00:35:11,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 ,an,,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,https://twitter.com/dog_rates/status/666051853826850816/photo/1,Twitter for iPhone,0.933012,0.045885400000000014,0.017885299999999996,1,box_turtle,mud_turtle,terrapin,False,False,False,0.2,697,1023
666055525042405380,2015-11-16 00:49:46,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog ,a,,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,https://twitter.com/dog_rates/status/666055525042405380/photo/1,Twitter for iPhone,0.692517,0.0582794,0.0544486,1,chow,Tibetan_mastiff,fur_coat,True,True,False,1.0,196,366
666057090499244032,2015-11-16 00:55:59,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare ,a,,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,https://twitter.com/dog_rates/status/666057090499244032/photo/1,Twitter for iPhone,0.962465,0.0145938,0.00795896,1,shopping_cart,shopping_basket,golden_retriever,False,False,True,0.9,111,247
666058600524156928,2015-11-16 01:01:59,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog ,the,,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,https://twitter.com/dog_rates/status/666058600524156928/photo/1,Twitter for iPhone,0.201493,0.192305,0.08208610000000001,1,miniature_poodle,komondor,soft-coated_wheaten_terrier,True,True,True,0.8,47,99
